ward_code;ward_name;population_density;average_income;employment_rate;avg_gcse_score;economically_active;in_employment;eco
E09000001;City of London;2546,9;99390;79,63286713;354,5;78,8;95,47465809;4972
E05000026;Abbey;12038,5;38870;60,34807671;317,6577586;68,2;85,51176196;6419
E05000027;Alibon;7357,1;37290;63,10738766;307,4457317;67,5;87,82826178;4798
E05000028;Becontree;10076,9;37860;61,19244078;295,4513812;67,2;86,18845657;5423
E05000029;Chadwell Heath;3029,4;38860;63,63939343;293,4378378;66,8;87,88150808;4456
E05000030;Eastbrook;3014,3;42780;68,22166097;305,9482759;70,6;89,0366711;5263
E05000031;Eastbury;8357,1;37720;61,5405442;315,6670659;66,8;87,33459357;5290
E05000032;Gascoigne;16272,7;34140;56,36737844;300,6715328;65,7;82,75154004;5357
E05000033;Goresbrook;8615,4;38130;63,60582307;302,2272727;68,6;87,72666539;5239
E05000034;Heath;5550;36080;61,42509875;297,3286885;67,4;85,66084788;4812
E05000035;Longbridge;7312,5;46520;65,20986009;337,7835227;67,4;90,84108739;5481
E05000036;Mayesbrook;5447,4;36280;61,89512992;305,4440299;66,3;87,32455193;4631
E05000037;Parsloes;8166,7;36640;61,45478162;312,2058394;65,5;87,25289707;4401
E05000038;River;3416,7;38390;64,19753086;300,1892857;68,8;87,74912075;5118
E05000039;Thames;3088,6;37400;60,5309997;306,9984733;69,1;84,76210008;4876
E05000040;Valence;7846,2;38080;63,09872923;302,9649254;67,4;87,25143615;4526
E05000041;Village;5190,5;36740;61,7107943;301,5692308;67,8;85,41501976;5060
E05000042;Whalebone;7000;42530;67,47040772;310,8455285;70,3;89,62695089;5254
E05000043;Brunswick Park;5375;53440;71,38967136;339,3390558;71,5;92,65450265;8495
E05000044;Burnt Oak;9261,9;39000;63,66879615;313,5469751;68,3;88,82332917;8813
E05000045;Childs Hill;6596,8;52190;67,90429645;335,65;71,6;91,15601504;10640
E05000046;Colindale;12230,8;39990;61,91720766;307,730814;67;88,2124809;8509
